year,city,number_of_high_schools,number_of_bachelor_graduates_in_percent,number_of_high_school_graduates_in_percent,number_of_high_school_students,number_of_high_school_graduates_with_potential_in_percent,Registration_for_higher_education_within_8_years_in_percent,number_of_students_in_percent
2017,אום אל-פחם,12,43.60,25,3778,60,7.3,10.5
2017,אופקים,10,32.80,21,1440,46.20,9.6,6.8
2017,אור יהודה,7,46.70,21,1103,64.70,12.0,12.4
2017,אור עקיבא,5,55.20,21,806,74.90,11.6,9.1
2017,אורנית,..,81.10,31,308,87.40,45.8,16.8
2017,אזור,..,55.20,0,0,69.40,19.9,11.4
2017,אילת,7,59.70,21,1881,67.70,10.2,6.7
2017,אכסאל,5,36.50,24,968,47.20,11.8,10.3
2017,אליכין,..,58.50,0,0,72.30,25.7,14.2
2017,אלעד,28,15.20,28,3269,28.50,10.7,5.9
2017,אלפי מנשה,..,69.60,0,0,74.60,34.6,11.2
2017,אלקנה,..,90.90,25,374,90.90,66.2,52.9
2017,אעבלין,4,62.40,25,1392,65,11.4,15.1
2017,אפרת,3,83.10,22,648,85.40,43.6,24.1
2017,אריאל,..,63.70,22,488,77.60,20.9,41.8
2017,אשדוד,51,50,24,11662,57,13.4,11.1
2017,אשקלון,21,61.40,23,5123,73,17.2,11.9
2017,באקה אל-גרביה,6,51.40,25,1981,67.60,11.1,15.4
2017,באר יעקב,4,54.30,21,1086,69.60,31.0,7.9
2017,באר שבע,31,58,23,8179,73.90,19.3,15.6
2017,בועיינה-נוג'ידאת,..,52.70,29,642,66.70,9.6,14.9
2017,בוקעאתא,..,62.40,26,230,80.20,5.2,11.7
2017,ביר אל-מכסור,..,31.50,30,540,39.50,6.4,7.6
2017,בית אל,4,72.50,24,933,83.30,44.2,20.7
2017,בית אריה,..,67.40,0,0,77.90,28.0,11.3
2017,בית ג'ן,..,76.30,26,619,92.40,14.9,15.1
2017,בית דגן,..,64,0,0,78.70,23.9,14.0
2017,בית שאן,5,51.10,16,722,66.80,11.7,10.2
2017,בית שמש,50,30.20,23,6325,37.20,10.1,8.6
2017,ביתר עילית,36,4.60,27,3913,9.80,4.9,5.3
2017,בני ברק,103,5.10,28,16749,6.40,6.3,2.7
2017,"בני עי""ש",..,61.40,0,0,75,10.6,10.9
2017,בנימינה-גבעת עדה*,..,77.90,25,773,81.30,58.4,10.4
2017,"בסמ""ה",..,43.10,26,685,61.10,10.9,13.3
2017,בסמת טבעון,..,39,31,336,53.90,7.7,10.2
2017,בענה,..,52.90,27,676,69.20,7.3,16.2
2017,בת ים,17,58.90,23,3604,74.30,8.9,9.2
2017,גבעת זאב,..,46.40,5,5,54,22.4,12.2
2017,גבעת שמואל,..,83.10,30,627,87.80,56.8,30.2
2017,גבעתיים,5,85.80,29,2445,91.60,52.2,20.0
2017,ג'דיידה-מכר,4,44.70,27,1105,57.70,8.5,12.2
2017,גדרה,6,75.10,26,1640,88.80,40.4,11.3
2017,ג'ולס,..,51.80,27,322,59.80,17.3,16.3
2017,ג'לג'וליה,..,63.90,34,503,72.90,9.0,14.3
2017,גן יבנה,3,74.90,26,1180,82.70,30.3,13.2
2017,גני תקווה,..,75,24,218,79.90,51.1,17.2
2017,ג'סר א-זרקא,..,23.40,23,728,39.30,1.9,3.9
2017,ג'ש (גוש חלב),..,59.50,21,169,64.30,23.5,23.4
2017,ג'ת,..,65.10,28,592,75.40,20.8,24.4
2017,דאלית אל-כרמל,..,64.90,22,555,71.70,13.2,14.3
2017,דבורייה,..,60.50,29,640,66.70,14.3,18.2
2017,דייר אל-אסד,..,71.90,28,536,81.40,12.0,14.4
2017,דייר חנא,..,81.20,31,497,88.80,13.7,16.0
2017,דימונה,10,58.60,23,1691,68.50,10.1,7.2
2017,הוד השרון,6,81.40,27,2661,84.70,51.9,15.3
2017,הר אדר,..,91.50,0,0,92.70,57.5,15.1
2017,הרצלייה,10,75.10,26,3398,81.90,41.7,18.8
2017,זכרון יעקב,6,74.80,24,1486,80.60,50.7,13.2
2017,זמר,..,52,34,638,61.80,11.4,15.8
2017,זרזיר,..,42.10,27,424,55.30,8.4,9.1
2017,חדרה,19,52.20,23,3776,66.70,20.1,9.5
2017,חולון,22,64.30,24,6170,76.50,19.9,14.0
2017,חורה,7,50.30,24,1735,67.80,9.5,10.6
2017,חורפיש,..,74.20,27,350,90.60,20.0,20.7
2017,חיפה,47,62.80,24,12176,71.60,31.9,22.6
2017,חצור הגלילית,4,34.30,27,850,49.30,12.0,7.8
2017,חריש,..,..,0,0,..,31.9,9.3
2017,טבריה,15,43.40,21,2573,60.50,8.6,8.7
2017,טובא-זנגרייה,..,35.10,27,265,46.60,5.7,7.8
2017,טורעאן,..,62.60,33,596,72.40,13.2,16.0
2017,טייבה,3,52.90,34,2488,71.60,11.9,16.3
2017,טירה,7,43,25,1503,55.70,14.6,16.9
2017,טירת כרמל,3,53.80,21,568,72.10,12.2,8.9
2017,טמרה,9,49.30,24,2211,63.70,10.0,15.9
2017,יאנוח-ג'ת,..,45.10,26,308,64.60,14.8,14.4
2017,יבנאל,..,17.10,15,121,43.90,14.9,5.8
2017,יבנה,8,65.80,24,1364,81.80,26.2,12.9
2017,יהוד,3,68.70,27,1805,78.50,33.3,14.7
2017,יסוד המעלה,..,..,0,0,..,44.4,8.3
2017,יפיע,4,60.30,25,1006,70,10.4,16.7
2017,יקנעם עילית,..,68.50,24,765,77.70,35.8,10.7
2017,ירוחם,3,51,21,466,61.40,18.0,10.4
2017,ירושלים,338,30.60,24,55922,35.40,14.7,10.2
2017,ירכא,7,45.80,24,1151,81.30,11.3,14.0
2017,כאבול,..,60.60,28,585,71.40,13.0,16.8
2017,כאוכב אבו אל-היג'א,..,73.30,26,234,91.70,19.3,25.1
2017,כוכב יאיר,..,84.20,0,0,86.80,59.5,14.8
2017,כסיפה,4,50,26,1637,59.60,10.2,10.8
2017,כסרא-סמיע,..,59.30,20,427,86.70,12.4,12.8
2017,כעביה-טבאש-חג'אג'רה,..,50,28,359,68.60,11.3,12.2
2017,כפר ברא,..,54,0,0,79.30,13.5,11.8
2017,כפר ורדים,..,85,22,372,87.20,54.6,11.6
2017,כפר יאסיף,..,52.40,30,545,60.60,19.2,15.3
2017,כפר יונה,..,60.50,29,736,73.30,33.3,9.5
2017,כפר כמא,..,53.70,0,0,55.60,19.2,26.6
2017,כפר כנא,5,50,27,1585,59.80,9.4,14.2
2017,כפר מנדא,3,54.20,27,1220,77.70,9.6,9.4
2017,כפר סבא,13,72.10,26,4315,77.70,44.4,14.5
2017,כפר קאסם,4,50.60,26,1535,74.60,10.7,13.9
2017,כפר קרע,6,54.20,26,1181,64.60,16.8,12.5
2017,כפר שמריהו,..,..,0,0,..,44.9,19.0
2017,כפר תבור,..,84.40,0,0,87,50.8,14.5
2017,כרמיאל,11,63,20,1938,78.50,20.0,12.8
2017,להבים,..,89,0,0,89.90,69.1,20.1
2017,לוד,18,40.80,24,4236,55.40,9.6,9.1
2017,לקיה,3,39.90,27,940,60.50,8.6,9.2
2017,מבשרת ציון,3,75.30,23,1097,84.80,40.3,16.0
2017,מגאר,4,49.50,24,1140,75.10,11.9,14.5
2017,מג'ד אל-כרום,7,54.20,21,1067,67.30,8.6,14.3
2017,מגדל,..,..,0,0,..,18.9,11.2
2017,מגדל העמק,8,41.90,21,1325,58.60,11.6,7.9
2017,מג'דל שמס,..,68.80,29,542,79,6.1,18.8
2017,מודיעין עילית,34,1.10,34,4898,2,3.2,2.2
2017,מודיעין-מכבים-רעות*,15,86,27,5230,89.60,52.3,15.5
2017,מזכרת בתיה,..,86.20,28,653,90.60,50.9,15.6
2017,מזרעה,..,59.30,0,0,66.70,8.8,14.0
2017,מטולה,..,..,0,0,..,38.0,16.0
2017,מיתר,..,88.80,29,432,92.20,60.7,13.2
2017,מסעדה,..,55.60,25,401,79.40,4.1,13.8
2017,מעיליא,..,94.10,26,359,94.10,27.1,27.6
2017,מעלה אדומים,8,69.30,22,2050,79.20,22.2,15.5
2017,מעלה אפרים,..,..,14,115,..,15.0,8.2
2017,מעלה עירון,..,40,28,788,59.30,9.6,11.1
2017,מעלות-תרשיחא,4,57.60,22,969,68.50,16.2,12.5
2017,מצפה רמון,..,49,24,339,67.30,20.5,8.8
2017,משהד,3,49.30,24,670,62.30,9.4,15.4
2017,נהרייה,8,56.80,25,1948,74.20,20.6,12.2
2017,נחף,3,48.30,22,822,64.90,11.1,16.4
2017,נס ציונה,7,79.30,27,1800,85.20,47.4,15.4
2017,נצרת,23,49.60,25,6468,59.90,13.0,14.6
2017,נצרת עילית,5,58.30,22,966,69.70,15.4,13.4
2017,נשר,..,63.10,25,592,77.50,27.7,18.8
2017,נתיבות,14,38,22,1551,59.20,12.2,9.4
2017,נתניה,29,54.90,25,7846,69.10,20.5,12.5
2017,סאג'ור,..,46.80,20,163,66.10,14.8,15.2
2017,סביון*,..,89.20,0,0,90.50,51.2,21.4
2017,סח'נין,5,49.20,28,1901,61.20,14.0,17.7
2017,ע'ג'ר,..,55.60,23,136,75,8.9,15.0
2017,עומר,..,83.30,31,376,86.70,59.6,16.5
2017,עיילבון,..,60.40,37,292,70.80,19.8,17.6
2017,עילוט,..,26.40,25,376,55,2.1,6.6
2017,עין מאהל,3,30.10,29,904,36.20,7.7,10.3
2017,עין קנייא,..,..,0,0,..,4.0,22.4
2017,עכו,12,49.90,20,2339,72.50,11.5,11.9
2017,עמנואל,..,14.30,21,82,38.60,4.4,3.1
2017,עספיא,..,70.40,24,542,76.90,12.8,14.0
2017,עפולה,9,46.60,21,1898,62.20,14.6,11.6
2017,עראבה,5,53.60,25,1454,72.90,14.8,15.1
2017,ערד,5,44.10,27,954,55.90,11.7,5.0
2017,ערערה,..,52,25,966,66.40,13.2,10.1
2017,ערערה-בנגב,4,17.60,23,1339,40.30,6.9,6.5
2017,פוריידיס,4,43.20,26,773,69.90,7.6,8.0
2017,פסוטה,..,78,0,0,78,23.1,27.4
2017,פקיעין (בוקייעה),..,81.90,24,236,86.70,18.3,18.3
2017,פרדס חנה-כרכור,7,65,18,1064,75.20,38.1,8.9
2017,פרדסייה,..,86.30,0,0,92.60,45.0,15.2
2017,פתח תקווה,49,65,24,10573,75.20,30.4,15.0
2017,צפת,14,33,24,2020,49.80,13.5,10.8
2017,קדומים,..,73.30,21,457,81.30,52.3,19.4
2017,קדימה-צורן,..,79.10,35,312,84.20,47.4,11.2
2017,קלנסווה,4,45.10,29,1381,65.80,10.3,13.5
2017,קצרין,..,51.40,21,575,69.50,16.0,17.4
2017,קריית אונו,3,85.20,29,1775,88.60,54.2,18.5
2017,קריית ארבע,..,55.80,19,428,66.70,24.4,21.6
2017,קריית אתא,8,59,21,1771,76.60,18.5,11.5
2017,קריית ביאליק,..,56.20,22,1314,72.10,23.5,10.8
2017,קריית גת,12,49.20,22,2336,61.10,11.4,8.9
2017,קריית טבעון,3,78.90,21,812,81.90,53.2,14.0
2017,קריית ים,3,47.10,23,925,67.60,11.9,9.9
2017,קריית יערים,..,8.80,31,278,8.80,13.2,8.7
2017,קריית מוצקין,4,63.60,27,1646,79.10,26.5,12.5
2017,קריית מלאכי,7,56.20,19,902,65.20,9.0,8.7
2017,קריית עקרון,..,70.50,28,167,83.70,13.9,9.1
2017,קריית שמונה,6,52.40,20,878,70.60,13.2,19.8
2017,קרני שומרון,..,67.60,28,255,74.10,33.6,17.6
2017,ראמה,3,64.70,25,929,77.90,19.4,18.8
2017,ראש העין,6,69.60,24,1678,76.10,30.6,12.4
2017,ראש פינה,..,59.70,0,0,75.80,35.9,13.5
2017,ראשון לציון,30,71.10,26,9801,82.60,24.3,15.6
2017,רהט,10,37.10,26,3503,55.40,6.6,7.6
2017,רחובות,26,63.30,25,5642,74.40,36.2,14.9
2017,ריינה,3,42.10,30,1113,51.40,7.5,11.3
2017,רכסים,8,4.80,20,761,17.70,7.2,4.4
2017,רמלה,14,44.50,21,3343,65.70,7.3,8.8
2017,רמת גן,15,78.60,30,6376,84.30,39.1,19.1
2017,רמת השרון,5,76.20,28,2820,78.60,53.3,17.1
2017,רמת ישי,..,71.70,0,0,81.80,48.8,13.0
2017,רעננה,13,79.60,25,3657,84.40,42.3,18.1
2017,שבלי - אום אל-גנם,..,41.50,24,342,52.30,9.8,13.5
2017,שגב-שלום,3,40.30,28,1268,57.10,6.2,4.9
2017,שדרות,4,61.10,18,660,71.30,14.7,13.0
2017,שוהם,..,86.60,30,1277,90.90,57.0,20.0
2017,שלומי,..,53.50,19,113,69.80,13.5,5.1
2017,שעב,..,49.60,25,329,57.50,8.5,14.4
2017,שפרעם,9,49.40,25,2259,57.20,9.7,11.9
2017,תל אביב -יפו,64,65,22,13032,73.60,41.1,20.8
2017,תל מונד,..,84.10,32,926,87.40,51.3,13.6
2017,תל שבע,5,22.20,27,1195,39.90,6.3,7.5
2016,אבו גוש,3,35.80,16.0,377,49.20,10.0,20.8
2016,אבו סנאן,3,39.20,24.0,661,56.10,11.0,10.2
2016,אבן יהודה,4,71.70,29.0,1293,81.10,53.8,13.1
2016,אום אל-פחם,11,32.40,25.2,3729,52.90,7.3,10.5
2016,אופקים,10,34.80,20.84,1396,51.70,9.6,6.8
2016,אור יהודה,7,48.50,20.7,1159,64.70,12.0,12.4
2016,אור עקיבא,6,60.20,20.21,788,70.10,11.6,9.1
2016,אורנית,..,78.80,0.0,0,87,45.8,16.8
2016,אזור,..,49.10,0.0,0,72.30,19.9,11.4
2016,אילת,7,57.40,20.72,1844,66.70,10.2,6.7
2016,אכסאל,4,42.80,24.0,927,52.50,11.8,10.3
2016,אליכין,..,56,0.0,0,72,25.7,14.2
2016,אלעד,27,19.70,26.07,2763,36.20,10.7,5.9
2016,אלפי מנשה,..,64.90,0.0,0,76.60,34.6,11.2
2016,אלקנה,..,94.40,28.0,365,96.30,66.2,52.9
2016,אעבלין,4,54.50,25.0,1339,56.30,11.4,15.1
2016,אפרת,3,85,22.0,713,88.60,43.6,24.1
2016,אריאל,..,61.40,23.8,476,76.70,20.9,41.8
2016,אשדוד,49,48.50,23.93,11461,56.90,13.4,11.1
2016,אשקלון,20,61,25.29,4704,73.10,17.2,11.9
2016,באקה אל-גרביה,7,40.50,26.26,2521,57.70,11.1,15.4
2016,באר יעקב,5,41.80,22.0,1163,63,31.0,7.9
2016,באר שבע,32,52,23.55,8313,69.60,19.3,15.6
2016,בועיינה-נוג'ידאת,..,37.80,28.0,653,51.10,9.6,14.9
2016,בוקעאתא,..,44.20,26.0,129,65.50,5.2,11.7
2016,ביר אל-מכסור,..,32.40,30.0,541,42.60,6.4,7.6
2016,בית אל,4,59.10,24.0,905,75.80,44.2,20.7
2016,בית אריה,..,66.70,0.0,0,73.60,28.0,11.3
2016,בית ג'ן,..,59.30,27.0,636,95.20,14.9,15.1
2016,בית דגן,..,68.20,0.0,0,79.80,23.9,14.0
2016,בית שאן,5,31.30,17.35,746,49.30,11.7,10.2
2016,בית שמש,49,27.20,23.38,6055,34.30,10.1,8.6
2016,ביתר עילית,31,3.90,27.03,3325,10.20,4.9,5.3
2016,בני ברק,100,5.80,27.72,16384,7,6.3,2.7
2016,"בני עי""ש",..,55.70,0.0,0,72.20,10.6,10.9
2016,בנימינה-גבעת עדה*,..,79.60,25.0,784,82.80,58.4,10.4
2016,"בסמ""ה",..,48.20,26.0,687,57.50,10.9,13.3
2016,בסמת טבעון,..,38.50,33.0,333,49.70,7.7,10.2
2016,בענה,..,53.20,27.0,672,65.60,7.3,16.2
2016,בת ים,17,53.40,22.86,3726,70.80,8.9,9.2
2016,גבעת זאב,..,37.80,5.0,5,47.80,22.4,12.2
2016,גבעת שמואל,..,80.30,29.83,537,86.30,56.8,30.2
2016,גבעתיים,5,84.90,28.9,2428,89.30,52.2,20.0
2016,ג'דיידה-מכר,4,57.70,28.0,1109,69.20,8.5,12.2
2016,גדרה,6,70.90,26.0,1571,87,40.4,11.3
2016,ג'ולס,..,44,26.0,306,47,17.3,16.3
2016,ג'לג'וליה,..,57.50,33.0,490,74.30,9.0,14.3
2016,גן יבנה,3,71.90,26.0,1118,80.40,30.3,13.2
2016,גני תקווה,..,75.10,15.0,59,79.60,51.1,17.2
2016,ג'סר א-זרקא,..,15.70,28.0,704,23.10,1.9,3.9
2016,ג'ש (גוש חלב),..,66,22.0,172,72.30,23.5,23.4
2016,ג'ת,..,56,0.0,0,69.40,20.8,24.4
2016,דאלית אל-כרמל,..,51.50,23.0,644,54.40,13.2,14.3
2016,דבורייה,..,59.70,28.0,644,61.70,14.3,18.2
2016,דייר אל-אסד,..,62.20,27.0,505,71.90,12.0,14.4
2016,דייר חנא,..,75.80,30.0,476,88.50,13.7,16.0
2016,דימונה,10,50.60,21.57,1661,61.50,10.1,7.2
2016,הוד השרון,6,82.60,27.74,2608,86.50,51.9,15.3
2016,הר אדר,..,84.20,0.0,0,94.10,57.5,15.1
2016,הרצלייה,10,70.90,25.85,3386,79.30,41.7,18.8
2016,זכרון יעקב,6,67.30,25.0,1586,74.50,50.7,13.2
2016,זמר,..,45.50,34.0,686,53,11.4,15.8
2016,זרזיר,..,41.80,28.0,388,57.40,8.4,9.1
2016,חדרה,20,48.20,23.54,3719,63.90,20.1,9.5
2016,חולון,20,62.30,24.57,6242,73.90,19.9,14.0
2016,חורה,7,43.10,24.0,1678,61.30,9.5,10.6
2016,חורפיש,..,62.60,25.0,345,86.90,20.0,20.7
2016,חיפה,46,62,25.16,12150,71.10,31.9,22.6
2016,חצור הגלילית,4,34.50,25.0,802,47.90,12.0,7.8
2016,חריש,..,..,0.0,0,..,31.9,9.3
2016,טבריה,15,36.70,21.79,2593,51.30,8.6,8.7
2016,טובא-זנגרייה,..,28.10,25.0,278,41.30,5.7,7.8
2016,טורעאן,..,63,33.0,587,79.30,13.2,16.0
2016,טייבה,3,51.10,32.99,2441,65.80,11.9,16.3
2016,טירה,7,45.80,24.39,1512,54,14.6,16.9
2016,טירת כרמל,3,56.80,20.04,561,72.50,12.2,8.9
2016,טמרה,9,43.30,24.23,2084,57,10.0,15.9
2016,יאנוח-ג'ת,..,50.50,24.0,289,61,14.8,14.4
2016,יבנאל,..,30,12.0,96,62.50,14.9,5.8
2016,יבנה,7,63.40,24.19,1306,79.20,26.2,12.9
2016,יהוד,3,62.80,27.33,1831,70.30,33.3,14.7
2016,יסוד המעלה,..,..,0.0,0,..,44.4,8.3
2016,יפיע,4,51.10,24.0,1025,66.40,10.4,16.7
2016,יקנעם עילית,..,64.20,26.15,706,78.60,35.8,10.7
2016,ירוחם,3,45.20,22.0,436,52.70,18.0,10.4
2016,ירושלים,335,31.80,24.06,55480,37.10,14.7,10.2
2016,ירכא,7,51.30,25.0,1027,75.50,11.3,14.0
2016,כאבול,..,61,27.0,566,75.10,13.0,16.8
2016,כאוכב אבו אל-היג'א,..,81.40,24.0,213,98.30,19.3,25.1
2016,כוכב יאיר,..,85.90,0.0,0,92.70,59.5,14.8
2016,כסיפה,4,38.20,26.0,1656,56.30,10.2,10.8
2016,כסרא-סמיע,..,43,20.0,424,78.50,12.4,12.8
2016,כעביה-טבאש-חג'אג'רה,..,47,28.0,330,77,11.3,12.2
2016,כפר ברא,..,42.50,0.0,0,65.80,13.5,11.8
2016,כפר ורדים,..,82.40,21.0,362,86.30,54.6,11.6
2016,כפר יאסיף,..,63.10,30.0,503,74.40,19.2,15.3
2016,כפר יונה,..,57.40,29.17,671,70.90,33.3,9.5
2016,כפר כמא,..,59.30,0.0,0,64.80,19.2,26.6
2016,כפר כנא,5,49.50,29.0,1473,60.90,9.4,14.2
2016,כפר מנדא,3,48.80,28.0,1123,70.30,9.6,9.4
2016,כפר סבא,13,73.70,25.98,4521,80.20,44.4,14.5
2016,כפר קאסם,4,46.60,26.6,1516,65.50,10.7,13.9
2016,כפר קרע,6,53.50,26.0,1109,63.80,16.8,12.5
2016,כפר שמריהו,..,..,0.0,0,..,44.9,19.0
2016,כפר תבור,..,79.70,0.0,0,87.50,50.8,14.5
2016,כרמיאל,11,60.70,21.21,1951,74.80,20.0,12.8
2016,להבים,..,82.90,0.0,0,88.60,69.1,20.1
2016,לוד,18,38.60,25.93,4175,52.50,9.6,9.1
2016,לקיה,3,33.10,29.0,971,57.90,8.6,9.2
2016,מבשרת ציון,3,68.50,25.0,1136,81.90,40.3,16.0
2016,מגאר,4,45,23.0,1131,72.50,11.9,14.5
2016,מג'ד אל-כרום,7,61.60,23.0,1083,65,8.6,14.3
2016,מגדל,..,..,0.0,0,..,18.9,11.2
2016,מגדל העמק,7,38.40,20.93,1277,52.60,11.6,7.9
2016,מג'דל שמס,..,56.80,29.0,498,72.90,6.1,18.8
2016,מודיעין עילית,32,0.70,31.36,4484,1.30,3.2,2.2
2016,מודיעין-מכבים-רעות*,14,85.10,26.59,4999,89.90,52.3,15.5
2016,מזכרת בתיה,..,78.90,28.0,582,82.60,50.9,15.6
2016,מזרעה,..,57.40,0.0,0,79.60,8.8,14.0
2016,מטולה,..,..,0.0,0,..,38.0,16.0
2016,מיתר,..,75.50,29.0,293,82.30,60.7,13.2
2016,מסעדה,..,38.30,26.0,517,65,4.1,13.8
2016,מעיליא,..,82.50,24.0,358,82.50,27.1,27.6
2016,מעלה אדומים,8,65,22.91,2016,77.70,22.2,15.5
2016,מעלה אפרים,..,..,14.0,127,..,15.0,8.2
2016,מעלה עירון,..,45.80,27.0,703,55.80,9.6,11.1
2016,מעלות-תרשיחא,4,55.10,21.14,930,67.40,16.2,12.5
2016,מצפה רמון,..,53.80,25.0,346,63.50,20.5,8.8
2016,משהד,3,53.60,24.0,664,67.30,9.4,15.4
2016,נהרייה,8,61,24.18,1910,76.40,20.6,12.2
2016,נחף,3,43.20,23.0,820,70.70,11.1,16.4
2016,נס ציונה,5,83.60,26.57,1674,90.60,47.4,15.4
2016,נצרת,24,42.40,24.97,6541,51.60,13.0,14.6
2016,נצרת עילית,5,53.50,21.57,992,62.50,15.4,13.4
2016,נשר,..,70.20,24.75,594,83.90,27.7,18.8
2016,נתיבות,14,36.80,21.17,1482,59.10,12.2,9.4
2016,נתניה,27,52.40,25.0,7774,68.90,20.5,12.5
2016,סאג'ור,..,34.40,22.0,153,60.70,14.8,15.2
2016,סביון*,..,85.70,0.0,0,90,51.2,21.4
2016,סח'נין,5,56.70,28.25,1921,68.80,14.0,17.7
2016,ע'ג'ר,..,64.90,20.0,120,75.70,8.9,15.0
2016,עומר,..,78.40,33.0,493,83.60,59.6,16.5
2016,עיילבון,..,37.90,34.0,304,50.60,19.8,17.6
2016,עילוט,..,25.80,25.0,379,30.20,2.1,6.6
2016,עין מאהל,..,37.40,27.0,829,50.60,7.7,10.3
2016,עין קנייא,..,..,0.0,0,..,4.0,22.4
2016,עכו,12,42.50,20.79,2391,68.60,11.5,11.9
2016,עמנואל,..,6.70,18.0,73,28.90,4.4,3.1
2016,עספיא,..,61.60,22.0,454,72.70,12.8,14.0
2016,עפולה,9,44.60,21.04,1873,56.70,14.6,11.6
2016,עראבה,4,54.60,24.64,1380,70.60,14.8,15.1
2016,ערד,4,52.10,27.75,888,60.70,11.7,5.0
2016,ערערה,..,52.60,27.0,957,61.60,13.2,10.1
2016,ערערה-בנגב,4,17.90,23.0,1360,42.80,6.9,6.5
2016,פוריידיס,3,31.60,26.0,715,67.90,7.6,8.0
2016,פסוטה,..,72.70,0.0,0,74.50,23.1,27.4
2016,פקיעין (בוקייעה),..,71.80,23.0,225,87.10,18.3,18.3
2016,פרדס חנה-כרכור,7,56.30,17.0,997,63.40,38.1,8.9
2016,פרדסייה,..,73.70,0.0,0,87.70,45.0,15.2
2016,פתח תקווה,46,63.90,24.85,10287,72.80,30.4,15.0
2016,צפת,14,28.10,24.94,2145,46.70,13.5,10.8
2016,קדומים,..,78.20,20.0,511,83.30,52.3,19.4
2016,קדימה-צורן,..,77.90,0.0,0,87.10,47.4,11.2
2016,קלנסווה,4,35.20,31.86,1370,60.80,10.3,13.5
2016,קצרין,..,56.50,20.0,544,65.70,16.0,17.4
2016,קריית אונו,3,82,28.42,1762,84.40,54.2,18.5
2016,קריית ארבע,..,56.90,21.0,478,71.50,24.4,21.6
2016,קריית אתא,8,47.70,21.61,1772,71.50,18.5,11.5
2016,קריית ביאליק,..,57.20,21.37,1218,69.80,23.5,10.8
2016,קריית גת,10,49.60,23.45,2275,62.40,11.4,8.9
2016,קריית טבעון,3,71.20,21.0,814,75.10,53.2,14.0
2016,קריית ים,3,45.60,23.46,868,66.80,11.9,9.9
2016,קריית יערים,3,4.50,27.0,301,13.60,13.2,8.7
2016,קריית מוצקין,4,51.80,26.95,1644,67.70,26.5,12.5
2016,קריית מלאכי,7,52.20,19.6,980,61.20,9.0,8.7
2016,קריית עקרון,..,53,29.0,172,72.60,13.9,9.1
2016,קריית שמונה,5,47.80,20.23,890,61.80,13.2,19.8
2016,קרני שומרון,..,60.90,27.0,242,71.10,33.6,17.6
2016,ראמה,3,62.20,25.0,908,74.80,19.4,18.8
2016,ראש העין,6,67.80,25.47,1732,74.30,30.6,12.4
2016,ראש פינה,..,48.70,0.0,0,61.50,35.9,13.5
2016,ראשון לציון,29,65.70,25.66,9802,79.10,24.3,15.6
2016,רהט,8,29.40,25.46,3462,46.20,6.6,7.6
2016,רחובות,25,61,24.57,5553,73.80,36.2,14.9
2016,ריינה,3,37.90,31.0,1093,54.50,7.5,11.3
2016,רכסים,7,6.30,22.0,761,13.60,7.2,4.4
2016,רמלה,15,37.60,22.05,3373,57.50,7.3,8.8
2016,רמת גן,14,76.70,29.43,6357,81.40,39.1,19.1
2016,רמת השרון,5,75.40,28.1,2866,79.90,53.3,17.1
2016,רמת ישי,..,67.30,0.0,0,76,48.8,13.0
2016,רעננה,14,81.30,25.61,3637,84.90,42.3,18.1
2016,שבלי - אום אל-גנם,..,50.40,26.0,334,62,9.8,13.5
2016,שגב-שלום,..,27,28.0,1145,43.40,6.2,4.9
2016,שדרות,4,61.20,19.23,577,72.30,14.7,13.0
2016,שוהם,..,87.60,30.0,1286,91.40,57.0,20.0
2016,שלומי,..,58.90,20.0,101,73.30,13.5,5.1
2016,שעב,..,52.30,25.0,329,64,8.5,14.4
2016,שפרעם,9,41.20,25.11,2385,47.70,9.7,11.9
2016,תל אביב -יפו,64,65.40,22.87,13037,74,41.1,20.8
2016,תל מונד,..,84.30,33.0,1026,89.40,51.3,13.6
2016,תל שבע,5,25.90,26.0,1120,37.90,6.3,7.5
